18,8,4/16/2016
24,3,2/16/2016
44,8,4/16/2016
57,6,1/16/2016
74,7,2/16/2016
90,19,9/16/2016
103,16,5/16/2016
106,5,1/16/2016
107,19,2/16/2016
114,9,7/16/2016
118,1,6/16/2016
121,1,12/16/2016
125,6,12/16/2016
138,17,12/16/2016
140,16,2/16/2016
155,5,9/16/2016
157,10,3/16/2016
198,13,8/16/2016
208,1,8/16/2016
212,13,1/16/2016
214,3,5/16/2016
218,15,9/16/2016
222,10,4/16/2016
227,5,8/16/2016
230,19,7/16/2016
244,8,3/16/2016
249,8,3/16/2016
253,51,1/16/2016
264,3,7/16/2016
281,17,6/16/2016
293,6,8/16/2016
292,18,10/16/2016
295,4,10/16/2016
298,3,10/16/2016
299,4,5/16/2016
300,9,5/16/2016
319,12,4/16/2016
343,9,5/16/2016
353,31,9/16/2016
356,2,4/16/2016
357,1,11/16/2016
358,2,8/16/2016
362,6,12/16/2016
372,7,11/16/2016
374,5,3/16/2016
396,7,6/16/2016
408,1,10/16/2016
409,2,8/16/2016
422,18,11/16/2016
424,2,3/16/2016
428,6,5/16/2016
440,4,11/16/2016
451,14,9/16/2016
458,2,1/16/2016
459,5,5/16/2016
470,9,10/16/2016
473,4,3/16/2016
480,5,7/16/2016
